"","n","std_dev","ula","lla","LoA_width","upper_95CI_bias","lower_95CI_bias","width_95CI_bias","ula_conf_u","ula_conf_l","ula_width","lla_conf_u","lla_conf_l","lla_width"
"87",45,1,1.96,-1.96,3.92,2.01536757444376,-2.01536757444376,4.03073514888753,2.48036567015381,1.43963432984619,1.04073134030762,-1.43963432984619,-2.48036567015381,1.04073134030762
"88",46,1,1.96,-1.96,3.92,2.01410338888085,-2.01410338888085,4.02820677776169,2.47435559902244,1.44564440097756,1.02871119804489,-1.44564440097756,-2.47435559902244,1.02871119804489
"89",47,1,1.96,-1.96,3.92,2.01289559891943,-2.01289559891943,4.02579119783886,2.4685491686609,1.4514508313391,1.0170983373218,-1.4514508313391,-2.4685491686609,1.0170983373218
"90",48,1,1.96,-1.96,3.92,2.01174051372977,-2.01174051372977,4.02348102745953,2.46293512843244,1.45706487156756,1.00587025686488,-1.45706487156756,-2.46293512843244,1.00587025686488
"91",49,1,1.96,-1.96,3.92,2.01063475762423,-2.01063475762423,4.02126951524846,2.4575030793813,1.4624969206187,0.995006158762601,-1.4624969206187,-2.4575030793813,0.995006158762601
"92",50,1,1.96,-1.96,3.92,2.00957523712924,-2.00957523712924,4.01915047425848,2.45224339306991,1.46775660693009,0.984486786139829,-1.46775660693009,-2.45224339306991,0.984486786139829
"93",51,1,1.96,-1.96,3.92,2.00855911210076,-2.00855911210076,4.01711822420152,2.44714713967578,1.47285286032422,0.97429427935156,-1.47285286032422,-2.44714713967578,0.97429427935156
"94",52,1,1.96,-1.96,3.92,2.00758377031584,-2.00758377031584,4.01516754063167,2.4422060241246,1.4777939758754,0.964412048249192,-1.4777939758754,-2.4422060241246,0.964412048249192
"95",53,1,1.96,-1.96,3.92,2.00664680506169,-2.00664680506169,4.01329361012338,2.43741232921913,1.48258767078087,0.954824658438252,-1.48258767078087,-2.43741232921913,0.954824658438252
"96",54,1,1.96,-1.96,3.92,2.00574599531787,-2.00574599531787,4.01149199063574,2.43275886487568,1.48724113512432,0.945517729751351,-1.48724113512432,-2.43275886487568,0.945517729751351
"97",55,1,1.96,-1.96,3.92,2.00487928818806,-2.00487928818806,4.00975857637611,2.42823892270771,1.49176107729229,0.936477845415425,-1.49176107729229,-2.42823892270771,0.936477845415425
"98",56,1,1.96,-1.96,3.92,2.00404478328915,-2.00404478328915,4.00808956657829,2.42384623530335,1.49615376469665,0.927692470606709,-1.49615376469665,-2.42384623530335,0.927692470606709
"99",57,1,1.96,-1.96,3.92,2.00324071884787,-2.00324071884787,4.00648143769574,2.41957493963388,1.50042506036612,0.919149879267753,-1.50042506036612,-2.41957493963388,0.919149879267753
"100",58,1,1.96,-1.96,3.92,2.00246545929101,-2.00246545929101,4.00493091858201,2.41541954410685,1.50458045589315,0.910839088213706,-1.50458045589315,-2.41541954410685,0.910839088213706
"101",59,1,1.96,-1.96,3.92,2.00171748414524,-2.00171748414524,4.00343496829047,2.41137489884247,1.50862510115753,0.902749797684949,-1.50862510115753,-2.41137489884247,0.902749797684949
"102",60,1,1.96,-1.96,3.92,2.00099537808827,-2.00099537808827,4.00199075617653,2.40743616880683,1.51256383119317,0.894872337613652,-1.51256383119317,-2.40743616880683,0.894872337613652
"103",10,2,3.92,-3.92,7.84,2.2621571627982,-2.2621571627982,4.52431432559641,6.39806901337293,1.44193098662707,4.95613802674585,-1.44193098662707,-6.39806901337293,4.95613802674585
"104",11,2,3.92,-3.92,7.84,2.22813885198627,-2.22813885198627,4.45627770397255,6.24721513098554,1.59278486901446,4.65443026197108,-1.59278486901446,-6.24721513098554,4.65443026197108
"105",12,2,3.92,-3.92,7.84,2.20098516009164,-2.20098516009164,4.40197032018328,6.12098516009164,1.71901483990836,4.40197032018328,-1.71901483990836,-6.12098516009164,4.40197032018328
"106",13,2,3.92,-3.92,7.84,2.17881282966723,-2.17881282966723,4.35762565933446,6.01333565540871,1.82666434459129,4.18667131081741,-1.82666434459129,-6.01333565540871,4.18667131081741
"107",14,2,3.92,-3.92,7.84,2.16036865646279,-2.16036865646279,4.32073731292558,5.92011272507187,1.91988727492813,4.00022545014375,-1.91988727492813,-5.92011272507187,4.00022545014375
"108",15,2,3.92,-3.92,7.84,2.1447866879178,-2.1447866879178,4.28957337583561,5.83835553256833,2.00164446743167,3.83671106513667,-2.00164446743167,-5.83835553256833,3.83671106513667
"109",16,2,3.92,-3.92,7.84,2.13144954555978,-2.13144954555978,4.26289909111955,5.76588945333956,2.07411054666044,3.69177890667913,-2.07411054666044,-5.76588945333956,3.69177890667913
"110",17,2,3.92,-3.92,7.84,2.11990529922125,-2.11990529922125,4.23981059844251,5.70107670231498,2.13892329768502,3.56215340462995,-2.13892329768502,-5.70107670231498,3.56215340462995
"111",18,2,3.92,-3.92,7.84,2.10981557783332,-2.10981557783332,4.21963115566663,5.64265720568896,2.19734279431104,3.44531441137791,-2.19734279431104,-5.64265720568896,3.44531441137791
"112",19,2,3.92,-3.92,7.84,2.10092204024104,-2.10092204024104,4.20184408048208,5.58964353318222,2.25035646681778,3.33928706636444,-2.25035646681778,-5.58964353318222,3.33928706636444
"113",20,2,3.92,-3.92,7.84,2.09302405440831,-2.09302405440831,4.18604810881662,5.54124946118698,2.29875053881302,3.24249892237396,-2.29875053881302,-5.54124946118698,3.24249892237396
"114",21,2,3.92,-3.92,7.84,2.08596344726586,-2.08596344726586,4.17192689453173,5.49684015012471,2.34315984987529,3.15368030024941,-2.34315984987529,-5.49684015012471,3.15368030024941
